Module,Submodule,Key,English,Marathi,Hindi,Odiya,Telugu,Kannada,Tamil,Gujarati,Urdu
LOGIN_PAGE,,ENTER_USERNAME,Enter Username,वापरकर्ता नाव प्रविष्ट करा,उपयोगकर्ता नाम दर्ज करें,ୟୁଜରଙ୍କ ନାମ  ଲେଖନ୍ତୁ,యూజర్‌నేమ్ ఎంటర్ చేయండి,ಯೂಸರ್ ಹೆಸರನ್ನು ನಮೂದಿಸಿ,பயனர் பெயரை உள்ளிடவும்,વપરાશકર્તા નામ દાખલ કરો,صارف نام درج کریں۔
LOGIN_PAGE,,BACK_TO_LOGIN,Back to Login,लॉगिनवर परत जा,लॉगिन पर वापस जाएं,ଲଗଇନକୁ ଫେରନ୍ତୁ,లాగిన్‌కి తిరిగి వెళ్లండి,ಲಾಗಿನ್‌ಗೆ ಹಿಂತಿರುಗಿ,உள்நுழைவுக்குத் திரும்பவும்,લૉગિન પર પાછા જાઓ,لاگ ان پر واپس جائیں۔
LOGIN_PAGE,,CREATE_STRONG_PASSWORD,Create a strong password,मजबूत पासवर्ड तयार करा,एक मजबूत पासवर्ड बनाएं,ଏକ ଜଟିଳ ପାସୱାର୍ଡ ତିଆରି କରନ୍ତୁ,బలమైన పాస్‌వర్డ్‌ను సృష్టించండి,ಬಲವಾದ ಪಾಸ್‌ವರ್ಡ್ ರಚಿಸಿ,வலுவான கடவுச்சொல்லை உருவாக்கவும்,મજબૂત પાસવર્ડ બનાવો,ایک مضبوط پاس ورڈ بنائیں
LOGIN_PAGE,,YOUR_PASSWORD_NEED,Your password needs to:,तुमच्या पासवर्डमध्ये हे आवश्यक आहे:,आपके पासवर्ड में यह होना चाहिए:,ଆପଣଙ୍କ ପାସୱାର୍ଡ ର ଆବଶ୍ୟକ:,మీ పాస్‌వర్డ్‌లో ఇవి ఉండాలి:,ನಿಮ್ಮ ಪಾಸ್‌ವರ್ಡ್‌ಗೆ ಇವುಗಳ ಅಗತ್ಯವಿದೆ:,உங்கள் கடவுச்சொல் பின்வருவனவற்றைக் கொண்டிருக்க வேண்டும்:,તમારા પાસવર્ડની જરૂર છે:,آپ کے پاس ورڈ کی ضرورت ہے:
LOGIN_PAGE,,INCLUDE_BOTH,Include both upper case and lower case,अपर केस आणि लोअर केस दोन्ही समाविष्ट करा,अप्पर केस और लोअर केस दोनों को शामिल करें,ବଡ ଅକ୍ଷର ଏବଂ ଛୋଟ ଅକ୍ଷର ଉଭୟ ଅନ୍ତର୍ଭୁକ୍ତ କରନ୍ତୁ,అప్పర్ కేస్ మరియు లోయర్ కేస్ రెండింటినీ చేర్చండి,ದೊಡ್ಡಕ್ಷರ ಮತ್ತು ಸಣ್ಣಕ್ಷರ ಎರಡನ್ನೂ ಸೇರಿಸಿ,பெரிய மற்றும் சிறிய எழுத்துகள் இரண்டும் இருக்க வேண்டும்,અપરકેસ અને લોઅરકેસ બંનેનો સમાવેશ કરો,اپر کیس اور لوئر کیس دونوں شامل کریں۔
LOGIN_PAGE,,INCLUDE_NUMBER,Include at least one number,किमान एक नंबर समाविष्ट करा,कम से कम एक नंबर शामिल करें,ଅତି କମରେ ଗୋଟିଏ ସଂଖ୍ୟା ଅନ୍ତର୍ଭୁକ୍ତ କରନ୍ତୁ,కనీసం ఒక సంఖ్యను చేర్చండి,ಕನಿಷ್ಠ ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಸೇರಿಸಿ,குறைந்தது ஒரு எண்ணையாவது கொண்டிருக்க வேண்டும்,ઓછામાં ઓછો એક નંબર શામેલ કરો,کم از کم ایک نمبر شامل کریں۔
LOGIN_PAGE,,INCLUDE_SPECIAL,Include at least one special character,किमान एक विशेष वर्ण समाविष्ट करा,कम से कम एक विशेष वर्ण शामिल करें,ଅତି କମରେ ଗୋଟିଏ ବିଶେଷ ଅକ୍ଷର ଅନ୍ତର୍ଭୁକ୍ତ କରନ୍ତୁ,కనీసం ఒక ప్రత్యేక అక్షరాన్ని చేర్చండి,ಕನಿಷ್ಠ ಒಂದು ವಿಶೇಷ ಅಕ್ಷರವನ್ನು ಸೇರಿಸಿ,குறைந்தது ஒரு சிறப்பு எழுத்தையாவது கொண்டிருக்க வேண்டும்,ઓછામાં ઓછું એક વિશિષ્ટ પાત્ર શામેલ કરો,کم از کم ایک خاص کردار شامل کریں۔
LOGIN_PAGE,,MUST_BE_AT,Must be at least 8 characters long,किमान 8 अक्षरे असणे आवश्यक,कम से कम 8 अक्षर का होना जरूरी है,ଅତି କମରେ 8 ଅକ୍ଷର ବିଶିଷ୍ଟ ହେବା ଆବଶ୍ୟକ,కనీసం 8 అక్షరాల పొడవు ఉండాలి,ಕನಿಷ್ಠ 8 ಅಕ್ಷರಗಳಿರಬೇಕು ,குறைந்தது 8 எழுத்துகள் நீளமாக இருக்க வேண்டும்,ઓછામાં ઓછા 8 અક્ષર લાંબા હોવા જોઈએ,کم از کم 8 حروف کا ہونا ضروری ہے۔
LOGIN_PAGE,,OTHER_SETTING,Other settings,इतर सेटिंग्ज,अन्य सेटिंग्स,ଅନ୍ୟାନ୍ୟ ସେଟିଂସ୍‍,ఇతర సెట్టింగ్‌లు,ಇತರ ಸೆಟ್ಟಿಂಗ್‌ಗಳು,பிற அமைப்புகள்,અન્ય સેટિંગ્સ,دیگر ترتیبات
LOGIN_PAGE,,WELCOME,Welcome!,स्वागत आहे!,स्वागत है!,ସ୍ୱାଗତ!,స్వాగతం!,ಸ್ವಾಗತ!,வரவேற்கிறோம்!,સ્વાગત છે!,خوش آمدید!
LOGIN_PAGE,,PLEASE_RESET_YOUR_PASSWORD,Please reset your password to ensure your account is secure,तुमचे खाते सुरक्षित असल्याची खात्री करण्यासाठी कृपया तुमचा पासवर्ड रीसेट करा.,"आपका खाता सुरक्षित है, यह सुनिश्चित करने के लिए कृपया अपना पासवर्ड रीसेट करें",ଆପଣଙ୍କର ଆକାଉଣ୍ଟ ସୁରକ୍ଷିତ ଅଛି ବୋଲି ସୁନିଶ୍ଚିତ କରିବାକୁ ଦୟାକରି ଆପଣଙ୍କର ପାସୱାର୍ଡ ରିସେଟ୍ କରନ୍ତୁ।,మీ ఖాతా సురక్షితంగా ఉందని నిర్ధారించుకోవడానికి దయచేసి మీ పాస్‌వర్డ్‌ను రీసెట్ చేయండి,ನಿಮ್ಮ ಖಾತೆ ಸುರಕ್ಷಿತವಾಗಿದೆ ಎಂದು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಲು ದಯವಿಟ್ಟು ನಿಮ್ಮ ಪಾಸ್‌ವರ್ಡ್ ಅನ್ನು ಮರುಹೊಂದಿಸಿ.,உங்கள் கணக்கின் பாதுகாப்பை உறுதிப்படுத்த தயவுசெய்து கடவுச்சொல்லை மீட்டமைக்கவும்,તમારું એકાઉન્ટ સુરક્ષિત છે તેની ખાતરી કરવા કૃપા કરીને તમારો પાસવર્ડ રીસેટ કરો,یہ یقینی بنانے کے لیے کہ آپ کا اکاؤنٹ محفوظ ہے اپنا پاس ورڈ دوبارہ ترتیب دیں۔
LOGIN_PAGE,,DO_IT_LATER,I’ll do it later,मी हे नंतर करीन,मैं इसे बाद में कर लूँगा,ମୁଁ ଏହା ପରେ କରିବି,నేను దానిని తర్వాత చేస్తాను,ನಾನು ಅದನ್ನು ನಂತರ ಮಾಡುತ್ತೇನೆ.,பிறகு செய்கிறேன்,હું પછીથી કરીશ,میں بعد میں کروں گا۔
LOGIN_PAGE,,SUCCESSFULLY_RESET,Your password has been successfully reset,तुमचा पासवर्ड यशस्वीरित्या रीसेट करण्यात आला आहे,आपका पासवर्ड सफलतापूर्वक रीसेट कर दिया गया है,ଆପଣଙ୍କର ପାସୱାର୍ଡ ସଫଳତାର ସହ ରିସେଟ୍ ହୋଇଛି।,మీ పాస్‌వర్డ్ విజయవంతంగా రీసెట్ చేయబడింది,ನಿಮ್ಮ ಪಾಸ್‌ವರ್ಡ್ ಅನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಮರುಹೊಂದಿಸಲಾಗಿದೆ.,உங்கள் கடவுச்சொல் வெற்றிகரமாக மீட்டமைக்கப்பட்டது,તમારો પાસવર્ડ સફળતાપૂર્વક રીસેટ કરવામાં આવ્યો છે,آپ کا پاس ورڈ کامیابی کے ساتھ دوبارہ ترتیب دیا گیا ہے۔
LOGIN_PAGE,,LINK_EXPIRED,Link has been expired,लिंक कालबाह्य झाली आहे,लिंक की समय सीमा समाप्त हो गई है,ଲିଙ୍କର ସମୟ ସୀମା ଶେଷ ହୋଇଯାଇଛି,లింక్ గడువు ముగిసింది,ಲಿಂಕ್ ಅವಧಿ ಮುಗಿದಿದೆ.,இணைப்பின் காலாவதி முடிந்துவிட்டது,લિંક સમાપ્ત થઈ ગઈ છે,لنک ختم ہو چکا ہے۔
LOGIN_PAGE,,WE_SEND_AN_EMAIL,We sent an email to {{maskEmail}} with a link to reset your password,आम्ही तुमचा पासवर्ड रीसेट करण्यासाठी लिंकसह {{maskEmail}} वर ईमेल पाठवला आहे,हमने आपके पासवर्ड को रीसेट करने के लिए एक लिंक के साथ {{maskEmail}} पर एक ईमेल भेजा है,ଆପଣଙ୍କ ପାସୱାର୍ଡ ପୁନଃସେଟ୍ କରିବା ପାଇଁ ଆମକୁ {{maskEmail}}ଏକ ଇମେଲ୍ ପଠାଇଛୁ।,మీ పాస్‌వర్డ్‌ను రీసెట్ చేయడానికి మేము {{maskEmail}}కి లింక్‌తో ఇమెయిల్ పంపాము,ನಿಮ್ಮ ಪಾಸ್‌ವರ್ಡ್ ಅನ್ನು ಮರುಹೊಂದಿಸಲು ಲಿಂಕ್ ಹೊಂದಿರುವ ಇಮೇಲ್ ಅನ್ನು ನಾವು {{maskEmail}} ಗೆ ಕಳುಹಿಸಿದ್ದೇವೆ.,உங்கள் கடவுச்சொல்லை மீட்டமைக்க {{maskEmail}} க்கு ஒரு மின்னஞ்சல் அனுப்பியுள்ளோம்,અમે તમારો પાસવર્ડ રીસેટ કરવા માટેની લિંક સાથે {{maskEmail}} પર એક ઈમેલ મોકલ્યો છે,ہم نے آپ کا پاس ورڈ دوبارہ ترتیب دینے کے لیے ایک لنک کے ساتھ {{maskEmail}} پر ایک ای میل بھیجا ہے۔
LOGIN_PAGE,,CURRENT_PASSWORD_NOT,Current Password Not Matched,वर्तमान पासवर्ड जुळत नाही।,वर्तमान पासवर्ड मेल नहीं खा रहा है।,ବର୍ତ୍ତମାନର ପାସୱାର୍ଡ ମେଳ ଖାଉନାହିଁ,ప్రస్తుత పాస్‌వర్డ్ సరిపోలలేదు,ಪ್ರಸ್ತುತ ಪಾಸ್‌ವರ್ಡ್ ಹೊಂದಿಕೆಯಾಗುತ್ತಿಲ್ಲ,தற்போதைய கடவுச்சொல் பொருந்தவில்லை,વર્તમાન પાસવર્ડ મેળ ખાતો નથી,موجودہ پاس ورڈ مماثل نہیں ہے۔
LOGIN_PAGE,,NO_USERNAME,Username not found,वापरकर्तानाव सापडले नाही।,उपयोगकर्ता नाम नहीं मिला।,ୟୁଜରଙ୍କ ନାମ  ମିଳିଲା ନାହିଁ,యూజర్ పేరు కనుగొనబడలేదు,ಯೂಸರ್ ಹೆಸರು ಕಂಡುಬಂದಿಲ್ಲ.,பயனர் பெயர் கிடைக்கவில்லை,વપરાશકર્તા નામ મળ્યું નથી,صارف نام نہیں ملا
LOGIN_PAGE,,PASSWORD_SAME_AS_OLD,Password same as old,पासवर्ड जुन्या पासवर्ड सारखाच आहे,पासवर्ड पुराना जैसा ही है।,ପାସୱାର୍ଡ ପୁରୁଣା ପାସୱାର୍ଡ ପରି ସମାନ ଅଛି,పాత పాస్‌వర్డ్ లాగానే ఉంది,ಪಾಸ್‌ವರ್ಡ್ ಹಳೆಯಂತೆಯೇ ಇದೆ,புதிய கடவுச்சொல் பழைய கடவுச்சொல்லைப் போல இருக்கக்கூடாது,પાસવર્ડ જુના જેવો જ,پاس ورڈ وہی پرانا ہے۔
SIDEBAR,,HI,hi,नमस्कार,नमस्ते,ନମସ୍କାର,హాయ్,ಹಾಯ್,வணக்கம்,નમસ્તે,ہیلو
SIDEBAR,,DASHBOARD,Dashboard,डॅशबोर्ड,डैशबोर्ड,ଦାଶବୋର୍ଡ ,డ్యాష్‌బోర్డ్,ಡ್ಯಾಶ್‌ಬೋರ್ಡ್,டாஷ்போர்டு,ડેશબોર્ડ,ڈیش بورڈ
SIDEBAR,,MANAGE_USERS,Manage Users,वापरकर्त्यांचे व्यवस्थापन करा,उपयोगकर्ताओं का प्रबंधन करें,ୟୁଜରମାନଙ୍କୁ  ପରିଚାଳନା କରନ୍ତୁ,వినియోగదారులను నిర్వహించండి,ಯೂಸರ್ ನ್ನು   ನಿರ್ವಹಿಸಿ,பயனர்களை நிர்வகிக்கவும்,ઉપયોગકર્તાનું વ્યવસ્થાપન કરો,صارفین کا نظم کریں۔
SIDEBAR,,COURSE_PLANNER,Curriculum Planner,अभ्यासक्रम नियोजक,पाठ्यक्रम योजनाकार,ପାଠ୍ୟକ୍ରମ ପ୍ରଣାଳୀକାରୀ,కోర్సు ప్రణాళికకర్త,ಕೋರ್ಸ್ ಪ್ಲಾನರ್,பாடத்திட்டத் திட்டமிடல்,પાઠ્યક્રમનું આયોજન,کورس پلانر
SIDEBAR,,CENTERS,Centers,सेंटर,केंद्रे,କେନ୍ଦ୍ର,కేంద్రాలు,ಕೇಂದ್ರಗಳು,மையங்கள்,સેન્ટર,مراکز
SIDEBAR,,FACILITATORS,Facilitators,प्रशिक्षक,सुविधा प्रदाता,ସହଜକାରୀମାନେ,సౌకర్యాదారులు,ಫೆಸಿಲಿಟೆಟರ್ ,பெசிலிடேட்டர்ஸ்,ફેસિલેટર,سہولت کار
SIDEBAR,,LEARNERS,Learners,शिकणारे,शिक्षार्थी,ଶିକ୍ଷାର୍ଥୀମାନେ,అభ్యసకులు,ಕಲಿಯುವವರು,மாணவர்கள்,વિધ્યાર્થી,طلباء
SIDEBAR,,TEAM_LEADERS,Team Leaders,टीम लीडर,टीम लीडर,ଦଳ ନେତାମାନେ,టీమ్ లీడర్లు,ತಂಡದ ನಾಯಕರು,குழுத் தலைவர்கள்,ટીમ લીડર,ٹیم لیڈرز
SIDEBAR,,CREATE_PLAN,Create Plan,योजना तयार करा,योजना बनाएं,ଯୋଜନା ସୃଷ୍ଟି କରନ୍ତୁ,ప్రణాళిక సృష్టించండి,ಯೋಜನೆಯನ್ನು ರಚಿಸಿ,திட்டத்தை உருவாக்கவும்,યોજના બનાવો,منصوبہ بنائیں
SIDEBAR,,VIEW_PLANS,View Plans,योजना पहा,योजनाएँ देखें,ଯୋଜନାଗୁଡ଼ିକୁ ଦେଖନ୍ତୁ,ప్రణాళికలను చూడండి,ಯೋಜನೆಗಳನ್ನು ವೀಕ್ಷಿಸಿ,திட்டங்களைக் காணவும்,યોજના જોવો,منصوبہ دیکھیں
SIDEBAR,,FOUNDATION_COURSE,Foundation Course,फाउंडेशन कोर्स,फाउंडेशन कोर्स,ଫାଉଣ୍ଡେସନ୍ କୋର୍ସ,ఫౌండేషన్ కోర్సు,ಫೌಂಡೇಶನ್ ಕೋರ್ಸ್,பவுண்டேஷன் கோர்ஸ்,ફાઉન્ડેશન કોર્સ,فاؤنڈیشن کورس
SIDEBAR,,MAIN_COURSE,Main Course,मुख्य कोर्स,मुख्य कोर्स,ମେନ କୋର୍ସ,ప్రధాన కోర్సు,ಮೆನ್ ಕೋರ್ಸ್,மெயின் கோர்ஸ்,મુખ્ય અભ્યાસક્રમ,مین کورس
SIDEBAR,,CONTENT_CREATOR_REVIEWER,Content Creator/Reviewer,सामग्री निर्माता/पुनरावलोकक,सामग्री निर्माता/समीक्षक,ବିଷୟବସ୍ତୁ ସୃଷ୍ଟିକର୍ତ୍ତା/ସମୀକ୍ଷକ,కంటెంట్ సృష్టికర్త/సమీక్షకుడు,ವಿಷಯ ರಚನೆಗಾರ / ಪರಿಶೀಲಕ,உள்ளடக்க உருவாக்குநர்/மதிப்பாய்வாளர்,સામગ્રી નિર્માતા/સમીક્ષક,مواد کا تخلیق کار/ جائزہ لینے والا
SIDEBAR,,SCTA,State Content Team Associate,राज्य साहित्य टीम सहाय्यक,राज्य सामग्री टीम सहायक,ରାଜ୍ୟ ବିଷୟବସ୍ତୁ ଦଳ ସହଯୋଗୀ,స్టేట్ కంటెంట్ టీమ్ అసోసియేట్,ಸ್ಟೇಟ್ ಕಂಟೆಂಟ್ ಟೀಮ್ ಅಸೋಸಿಯೇಟ್ ,மாநில உள்ளடக்கக் குழு இணைவர்,રાજ્ય સામગ્રી ટીમ સહયોગી,ریاستی مواد ٹیم ایسوسی ایٹ
SIDEBAR,,WORKSPACE,Workspace,कार्यस्थान,कार्यस्थान,କାର୍ଯ୍ୟସ୍ଥାନ,వర్క్‌స్పేస్,ವರ್ಕ್ ಸ್ಪೇಸ್,பணியிடம்,વર્કસ્પેસ,کام کی جگہ
SIDEBAR,,MENTOR,Mentor,मेंटॉर,मेंटर,ମେଣ୍ଟର,మెంటార్,ಮೆಂಟರ್ ,வழிகாட்டி,માર્ગદર્શક,سرپرست
SIDEBAR,,MENTOR_LEADER,Center Head,मेंटॉर लीडर,मेंटर लीडर,ମେଣ୍ଟର ନେତା,సెంటర్ హెడ్,ಸೆಂಟರ್ ಹೆಡ್ ,மையத் தலைவர்,માર્ગદર્શક નેતા,سنٹر کا سرپرست
SIDEBAR,,CERTIFICATE_ISSUANCE,Certificate Issuance,प्रमाणपत्र जारी करणे,सर्टिफिकेट जारी करना,ସର୍ଟିଫିକେଟ୍ ଇସ୍ୟୁନ୍ସ,సర్టిఫికెట్ జారీ,ಪ್ರಮಾಣಪತ್ರ ವಿತರಣೆ,சான்றிதழ் வழங்கல்,પ્રમાણપત્ર જારી,سرٹیفکیٹ کا اجراء
SIDEBAR,,SUPPORT_REQUEST,Support Request,सहाय्य विनंती,समर्थन अनुरोध,ସହଯୋଗ ଅନୁରୋଧ,సహాయం అభ్యర్థన,ಬೆಂಬಲ ಕೇಳುವುದು ,ஆதரவு கோரிக்கை,સહાય વિનંતી,مدد کی درخواست
SIDEBAR,,CONTENT_CREATOR,Content Creator,कन्टेन्ट क्रिएटर,सामग्री निर्माता,ସାମଗ୍ରୀ ସୃଷ୍ଟା,కంటెంట్ క్రియేటర్,ವಿಷಯ ರಚನೆಕಾರ ,உள்ளடக்க உருவாக்குநர்,સામગ્રી નિર્માતા,مواد تخلیق کار
SIDEBAR,,CONTENT_REVIEWER,Content Reviewer,कन्टेन्ट रिव्ह्युअर,सामग्री समीक्षक,ସାମଗ୍ରୀ ସମୀକ୍ଷକ,కంటెంట్ సమీక్షకులు,ವಿಷಯ ಪರಿಶೀಲಕರು  ,உள்ளடக்க மதிப்பாய்வாளர்,સામગ્રી સમીક્ષક,مواد کا جائزہ لینے والا
FACILITATORS,,STATE,State,राज्य,राज्य,ରାଜ୍ୟ,రాష్ట్రం,ರಾಜ್ಯ,மாநிலம்,રાજ્ય,ریاست
FACILITATORS,,DISTRICT,District,जिला,जिल्हा,ଜିଲ୍ଲା,జిల్లా,ಜಿಲ್ಲೆ,மாவட்டம்,જિલ્લો,ضلع
FACILITATORS,,BLOCK,Block,ब्लॉक,ब्लॉक,ବ୍ଲକ୍,బ్లాక్,ಬ್ಲಾಕ್ ,வட்டம்,બ્લોક,بلاک
FACILITATORS,,NEW_FACILITATOR,New Facilitator,नया फैसलिटेटर,नवीन शिक्षक,ନୂତନ ଫାସିଲିଟର୍,కొత్త ఫెసిలిటేటర్,ಹೊಸ ಫೆಸಿಲಿಟೇಟರ್,புதிய பெசிலிடேட்டர்,નવો ફેસિલેટર,نیا فیسلیٹیٹر 
FACILITATORS,,SEARCHBAR_PLACEHOLDER,Search Facilitators..,प्रशिक्षक शोधा..,सुविधा प्रदाता खोजें..,ସହଜକାରୀମାନଙ୍କୁ ଖୋଜନ୍ତୁ..,ఫెసిలిటేటర్స్ శోధించండి..,ಫೆಸಿಲಿಟೇಟರ್ ನ್ನು ಹುಡುಕಿ..,பெசிலிடேட்டர்ஸ் தேடல் ..,ફેસિલેટર શોધો,فیسلیٹیٹر تلاش کریں..
FACILITATORS,,FACILITATOR_CREATED_SUCCESSFULLY,"Teacher is created, and credentials sent successfully!","शिक्षक बनाया गया है, और क्रेडेंशियल्स सफलतापूर्वक भेजे गए हैं!","शिक्षक तयार केला, क्रेडेन्शियल्स यशस्वीपणे पाठवले!",ଶିକ୍ଷକ ସଫଳତାର ସହିତ ସୃଷ୍ଟି ହୋଇଛନ୍ତି ଏବଂ ଲଗଇନ୍ ବିବରଣୀ ପଠାଯାଇଛି।,"టీచర్ సృష్టించబడింది, మరియు ఆధారాలు విజయవంతంగా పంపబడ్డాయి!","ಶಿಕ್ಷಕರನ್ನು ರಚಿಸಲಾಗಿದೆ, ಮತ್ತು ರುಜುವಾತುಗಳನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಕಳುಹಿಸಲಾಗಿದೆ!","ஆசிரியர் உருவாக்கப்பட்டார், உள்நுழைவு விவரங்கள் வெற்றிகரமாக அனுப்பப்பட்டன!","શિક્ષક બનાવવામાં આવ્યો છે, અને ઓળખપત્રો સફળતાપૂર્વક મોકલવામાં આવ્યા છે!",استاد بنایا گیا، اور اسناد کامیابی کے ساتھ بھیج دی گئیں!
FACILITATORS,,USER_CREDENTIALS_WILL_BE_SEND_SOON,"Teacher is created ,credentials will be sent soon","शिक्षक बनाया गया है, क्रेडेंशियल्स जल्द ही भेजे जाएंगे","शिक्षक तयार केला, क्रेडेन्शियल्स लवकरच पाठवले जातील",ଶିକ୍ଷକ ସଫଳତାର ସହିତ ସୃଷ୍ଟି ହୋଇଛନ୍ତି। ଲଗଇନ୍ ବିବରଣୀ ଖୁବ ଶୀଘ୍ର ପଠାଯିବ।,"టీచర్ సృష్టించబడింది, ఆధారాలు త్వరలో పంపబడతాయి","ಶಿಕ್ಷಕರನ್ನು ರಚಿಸಲಾಗಿದೆ, ರುಜುವಾತುಗಳನ್ನು ಶೀಘ್ರದಲ್ಲೇ ಕಳುಹಿಸಲಾಗುತ್ತದೆ。","ஆசிரியர் உருவாக்கப்பட்டார், உள்நுழைவு விவரங்கள் விரைவில் அனுப்பப்படும்","શિક્ષક બનાવવામાં આવ્યા છે, ટૂંક સમયમાં ઓળખપત્રો મોકલવામાં આવશે",استاد بنایا گیا ہے، اسناد جلد بھیج دی جائیں گی۔
FACILITATORS,,FACILITATOR_UPDATED_SUCCESSFULLY,Teacher has been successfully updated!,शिक्षक को सफलतापूर्वक अपडेट किया गया है!,शिक्षक यशस्वीपणे अद्ययावत केला,ଶିକ୍ଷକଙ୍କ ସୂଚନା ସଫଳତାର ସହିତ ଅପଡେଟ  କରାଯାଇଛି,టీచర్ విజయవంతంగా నవీకరించబడింది!,ಶಿಕ್ಷಕರನ್ನು ಯಶಸ್ವಿಯಾಗಿ ನವೀಕರಿಸಲಾಗಿದೆ!,ஆசிரியர் வெற்றிகரமாகப் புதுப்பிக்கப்பட்டார்!,શિક્ષક સફળતાપૂર્વક અપડેટ કરવામાં આવ્યા છે!,استاد کو کامیابی کے ساتھ اپ ڈیٹ کر دیا گیا ہے!
FACILITATORS,,EDIT_FACILITATOR,Edit Facilitator,फैसलिटेटर संपादित करें,शिक्षक संपादित करा,ଫ୍ୟାସିଲିଟେଟରକୁ ଏଡିଟ  କରନ୍ତୁ,ఫెసిలిటేటర్‌ను సవరించండి,ಎಡಿಟ್ ಫೆಸಿಲಿಟೇಟರ್,பெசிலிடேட்டரை திருத்தவும்,ફેસિલિટેટર સંપાદિત કરો,سہولت کار میں ترمیم کریں۔
FACILITATORS,,FACILITATOR_CREATED,The facilitator account has been created successfully,फॅसिलिटेटर खाते यशस्वीरित्या तयार झाले आहे,फैसिलिटेटर खाता सफलतापूर्वक बनाया गया,ଫ୍ୟାସିଲିଟେଟର ଖାତା ସଫଳତାର ସହିତ ସୃଷ୍ଟି ହୋଇଛି,ఫ్యాసిలిటేటర్ ఖాతా విజయవంతంగా సృష్టించబడింది,ಕಾರ್ಯನಿರ್ವಹಣೆಯ ಖಾತೆ ಯಶಸ್ವಿಯಾಗಿ ರಚಿಸಲಾಗಿದೆ,பெசிலிடேட்டர் கணக்கு வெற்றிகரமாக உருவாக்கப்பட்டது,ફેસિલિટેટર એકાઉન્ટ સફળતાપૂર્વક બનાવવામાં આવ્યું છે,سہولت کار اکاؤنٹ کامیابی کے ساتھ بنایا گیا ہے۔
FACILITATORS,,FACILITATOR_CREATED_FAILED,Failed to create facilitator account,फॅसिलिटेटर खाते तयार करण्यात अयशस्वी,फैसिलिटेटर खाता बनाने में विफल,ଫ୍ୟାସିଲିଟେଟର ଖାତା ସୃଷ୍ଟି କରିପାରିଲେ ନାହିଁ,ఫ్యాసిలిటేటర్ ఖాతా సృష్టించడంలో విఫలమైంది,ಕಾರ್ಯನಿರ್ವಹಣೆ ಖಾತೆ ರಚಿಸಲು ವಿಫಲವಾಗಿದೆ,பெசிலிடேட்டர் கணக்கை உருவாக்க முடியவில்லை,ફેસિલિટેટર એકાઉન્ટ બનાવવામાં નિષ્ફળ,سہولت کار اکاؤنٹ بنانے میں ناکام
FACILITATORS,,FINISH_ASSIGN,Finish & Assign,पूर्ण करा व नियुक्त करा,समाप्त & असाइन करें,ସମାପ୍ତ କରନ୍ତୁ ଓ ନିୟୁକ୍ତ କରନ୍ତୁ,ముగించండి & కేటాయించండి,ಪೂರ್ಣಗೊಳಿಸಿ ಮತ್ತು ನಿಯೋಜಿಸಿ,முடித்து ஒதுக்கவும்,સમાપ્ત કરો અને સોંપો,ختم کریں اور تفویض کریں۔
FACILITATORS,,BATCHES_SELECTED,batches selected,बॅचेस निवडल्या,चयनित बैच,ବ୍ୟାଚ ଚୟନ କରାଗଲା ,ఎక్కువ ఎంపికలు చేసిన బ్యాచిలు,ಬ್ಯಾಚ್  ಆಯ್ಕೆ ಮಾಡಲಾಗಿದೆ,தேர்ந்தெடுக்கப்பட்ட பேட்ச்கள்,બેચ પસંદ કર્યા,بیچوں کو منتخب کیا
FACILITATORS,,CENTERS,Centers,केंद्रे,केंद्र,ସେଣ୍ଟର ,కేంద్రములు,ಕೇಂದ್ರಗಳು,மையங்கள்,કેન્દ્રો,مراکز
FACILITATORS,,RE_ASSIGN_facilitator,Re-assign Facilitator,फॅसिलिटेटर पुन्हा नियुक्त करा,फैसिलिटेटर को फिर से असाइन करें,ସୁବିଧାଦାତାଙ୍କୁ ପୁନଃନିଯୁକ୍ତ କରନ୍ତୁ,ఫెసిలిటేటర్‌ని మళ్లీ కేటాయించండి,ಪುನಃ ಕಾರ್ಯನಿರ್ವಹಣೆ,பெசிலிடேட்டரை மறுஒதுக்கீடு செய்யவும்,ફેસિલિટેટરને ફરીથી સોંપો,سہولت کار کو دوبارہ تفویض کریں۔
NAVBAR,,SEARCHBAR_PLACEHOLDER,"Search course, topic, student, pdf etc..","अभ्यासक्रम, विषय, विद्यार्थी, पीडीएफ इत्यादी शोधा..","पाठ्यक्रम, विषय, छात्र, पीडीएफ आदि खोजें..","ପାଠ୍ୟକ୍ରମ, ବିଷୟ, ଛାତ୍ର, ପିଡ଼ଏଫ୍ ଇତ୍ୟାଦି ଖୋଜନ୍ତୁ..","కోర్సు, టాపిక్, విద్యార్థి, పిడిఎఫ్ మొదలైనవి శోధించండి..","ಕೋರ್ಸ್, ವಿಷಯ, ವಿದ್ಯಾರ್ಥಿ, ಪಿಡಿಎಫ್ ಇತ್ಯಾದಿಗಳನ್ನು ಹುಡುಕಿ..","பாடநெறி, தலைப்பு, மாணவர், PDF போன்றவற்றைத் தேடவும்..","અભ્યાસક્રમ ,વિષય , વિધ્યાર્થી ,PDF વગેરે શોધો",تلاش کورس، موضوع، طالب علم، پی ڈی ایف وغیرہ۔
