COMMON,ALREADY_EXIST,Center name already exist.Please provide another name,केंद्राचे नाव आधीच अस्तित्वात आहे. कृपया दुसरे नाव प्रविष्ट करा,केंद्र का नाम पहले से मौजूद है। कृपया एक और नाम प्रदान करें,କେନ୍ଦ୍ର ନାମ ପୂର୍ବରୁ ଅଛି। ଦୟାକରି ଅନ୍ୟ ଏକ ନାମ ଦିଅନ୍ତୁ।,సెంటర్ పేరు ఇప్పటికే ఉంది. దయచేసి మరొక పేరును అందించండి,ಕೇಂದ್ರದ ಹೆಸರು ಈಗಾಗಲೇ ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ. ದಯವಿಟ್ಟು ಇನ್ನೊಂದು ಹೆಸರನ್ನು ಒದಗಿಸಿ.,மையத்தின் பெயர் ஏற்கனவே உள்ளது. தயவுசெய்து வேறு பெயரை வழங்கவும்,કેન્દ્રનું નામ પહેલેથી જ અસ્તિત્વમાં છે. કૃપા કરીને બીજું નામ આપો,مرکز کا نام پہلے سے موجود ہے۔ براہ کرم دوسرا نام فراہم کریں۔
COMMON,PAGE_NOT_FOUND,Page not found,पृष्ठ सापडले नाही,पृष्ठ नहीं मिला,ପୃଷ୍ଠା ମିଳିଲା ନାହିଁ,పేజీ కనుగొనబడలేదు,ಪುಟ ಕಂಡುಬಂದಿಲ್ಲ.,பக்கம் கிடைக்கவில்லை,પૃષ્ઠ મળ્યું નથી,صفحہ نہیں ملا
COMMON,ACCESS_DENIED,Access Denied,प्रवेश नाकारला,पहुँच अस्वीकृत,ପ୍ରବେଶ ବାଧିତ,యాక్సెస్ తిరస్కరించబడింది,ಪ್ರವೇಶ ನಿರಾಕರಿಸಲಾಗಿದೆ,அணுகல் மறுக்கப்பட்டது,ઍક્સેસ નકારી,رسائی سے انکار کر دیا گیا۔
COMMON,YOU_DONT_HAVE_PERMISSION_TO_ACCESS_THIS_PAGE,You don't have access to this page,तुम्हाला या पृष्ठावर प्रवेश नाही,आपके पास इस पृष्ठ तक पहुँच नहीं है,ଆପଣଙ୍କର ଏହି ପୃଷ୍ଠାକୁ ଆକ୍ସେସ୍ ନାହିଁ।,మీకు ఈ పేజీకి యాక్సెస్ లేదు,ಈ ಪುಟಕ್ಕೆ ನಿಮಗೆ ಪ್ರವೇಶವಿಲ್ಲ.,இந்தப் பக்கத்திற்கான அணுகல் உங்களிடம் இல்லை,તમારી પાસે આ પૃષ્ઠની ઍક્સેસ નથી,آپ کو اس صفحہ تک رسائی حاصل نہیں ہے۔
COMMON,RETURN_TO_LOGIN,Return to Login,लॉगिनवर परत जा,लॉगिन पर वापस जाएं,ଲଗଇନକୁ ଫେରନ୍ତୁ,లాగిన్‌కు తిరిగి వెళ్లండి,ಲಾಗಿನ್‌ಗೆ ಹಿಂತಿರುಗಿ,உள்நுழைவுக்குத் திரும்பு,લોગિન પર પાછા ફરો,لاگ ان پر واپس جائیں۔
COMMON,COHORT_CODE_EXISTS,Code already exists,कोड आधीच अस्तित्वात आहे,कोड पहले से मौजूद है,କୋଡ୍ ପୂର୍ବରୁ ଅଛି,కోడ్ ఇప్పటికే ఉంది,ಕೋಡ್ ಈಗಾಗಲೇ ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ.,குறியீடு ஏற்கனவே உள்ளது,કોડ પહેલેથી જ અસ્તિત્વમાં છે,کوڈ پہلے سے موجود ہے۔
COMMON,NO_MENTOR_FOUND,No Mentor Found,कोणताही मेंटर सापडला नाही,कोई मेंटर नहीं मिला,ମେଣ୍ଟର ମିଳିଲା ନାହିଁ,మెంటార్ కనుగొనబడలేదు,ಮಾರ್ಗದರ್ಶಿ ಸಿಕ್ಕಿಲ್ಲ,வழிகாட்டி கண்டறியப்படவில்லை,કોઈ માર્ગદર્શક મળ્યો નથી,کوئی سرپرست نہیں ملا
COMMON,NO_YOUTH_FOUND,No Youth Found,कोणताही युथ सापडला नाही,कोई युवा नहीं मिला,ଯୁବକ/ଯୁବତୀ ମିଳିଲେ ନାହିଁ,యువకుడు కనుగొనబడలేదు,ಯುವಕರು ಸಿಕ್ಕಿಲ್ಲ,இளைஞர் கண்டறியப்படவில்லை,કોઈ યુવા મળ્યો નથી,کوئی نوجوان نہیں ملا
COMMON,NO_MENTOR_LEAD_FOUND,No Mentor Lead Found,कोणताही मेंटर लीड सापडला नाही,कोई मेंटर लीड नहीं मिला,ମେଣ୍ଟର ନେତା ମିଳିଲେ ନାହିଁ,మెంటార్ లీడర్ కనుగొనబడలేదు,ಮಾರ್ಗದರ್ಶಕ ನಾಯಕ ಸಿಕ್ಕಿಲ್ಲ,வழிகாட்டி தலைவர் கண்டறியப்படவில்லை,કોઈ માર્ગદર્શક લીડ મળ્યો નથી,کوئی سرپرست لیڈ نہیں ملا
COMMON,NO_STATE_FOUND,No State Found,कोणतेही राज्य सापडले नाही,कोई राज्य नहीं मिला,ରାଜ୍ୟ ମିଳିଲା ନାହିଁ,రాష్ట్రం కనుగొనబడలేదు,ರಾಜ್ಯ ಸಿಕ್ಕಿಲ್ಲ,மாநிலம் கண்டறியப்படவில்லை,કોઈ રાજ્ય મળ્યું નથી,کوئی ریاست نہیں ملی
COMMON,NO_VILLAGE_FOUND,No Village Found,कोणतेही गाव सापडले नाही,कोई गांव नहीं मिला,ଗାଁ ମିଳିଲା ନାହିଁ,గ్రామం కనుగొనబడలేదు,ಹಳ್ಳಿ ಸಿಕ್ಕಿಲ್ಲ,கிராமம் கண்டறியப்படவில்லை,કોઈ ગામ મળ્યું નથી,کوئی گاؤں نہیں ملا
COMMON,NO_DISTRICTS_FOUND,No District Found,कोणताही जिल्हा सापडला नाही,कोई जिला नहीं मिला,ଜିଲ୍ଲା ମିଳିଲା ନାହିଁ,జిల్లా కనుగొనబడలేదు,ಜಿಲ್ಲೆ ಸಿಕ್ಕಿಲ್ಲ,மாவட்டம் கண்டறியப்படவில்லை,કોઈ જિલ્લો મળ્યો નથી,کوئی ضلع نہیں ملا
COMMON,NO_BLOCK_FOUND,No Block Found,कोणताही ब्लॉक सापडला नाही,कोई ब्लॉक नहीं मिला,ବ୍ଲକ୍ ମିଳିଲା ନାହିଁ,బ్లాక్ కనుగొనబడలేదు,ಬ್ಲಾಕ್ ಸಿಕ್ಕಿಲ್ಲ,வட்டம் கண்டறியப்படவில்லை,કોઈ બ્લોક મળ્યો નથી,کوئی بلاک نہیں ملا
COMMON,NO_FACILITATOR_FOUND,No Facilitator Found,कोणताही फॅसिलिटेटर सापडला नाही,कोई facilitator नहीं मिला,ଫ୍ୟାସିଲିଟେଟର ମିଳିଲେ ନାହିଁ,ఫ్యాసిలిటేటర్ కనుగొనబడలేదు,ಅನುಗುಣದ ಸಮಯ ಸಿಕ್ಕಿಲ್ಲ,உதவியாளர் கண்டறியப்படவில்லை,કોઈ સુવિધા આપનાર મળ્યો નથી,کوئی سہولت کار نہیں ملا
COMMON,NOT_ABLE_UPDATE_FACILITATOR,Not Able To Update Teacher,शिक्षक अपडेट करता आले नाही,शिक्षक को अपडेट करने में सक्षम नहीं,ଶିକ୍ଷକ ଅଦ୍ୟତନ କରିପାରିଲେ ନାହିଁ,గురువుల్ని నవీకరించడంలో విఫలమయ్యారు,ಗುರು ಪ್ರಸ್ತುತ обновಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ,ஆசிரியரை புதுப்பிக்க முடியவில்லை,શિક્ષકને અપડેટ કરવામાં સક્ષમ નથી,ٹیچر کو اپ ڈیٹ کرنے کے قابل نہیں۔
COMMON,NOT_ABLE_CREATE_FACILITATOR,Not Able To Create Teacher,शिक्षक तयार करता आले नाही,शिक्षक बनाने में सक्षम नहीं,ଶିକ୍ଷକ ସୃଷ୍ଟି କରିପାରିଲେ ନାହିଁ,గురువుల్ని సృష్టించడంలో విఫలమయ్యారు,ಗುರು ಸೃಷ್ಟಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ,ஆசிரியரை உருவாக்க முடியவில்லை,શિક્ષકને બનાવવા સક્ષમ નથી,استاد پیدا کرنے کے قابل نہیں۔
COMMON,NOT_ABLE_UPDATE_LEARNER,Not Able To Update Learner,लर्नर अपडेट करता आले नाही,लर्नर को अपडेट करने में सक्षम नहीं,ଶିକ୍ଷାର୍ଥୀ ଅଦ୍ୟତନ କରିପାରିଲେ ନାହିଁ,లెర్నర్‌ను నవీకరించడంలో విఫలమయ్యారు,ಅಧ್ಯಯನ ನಡೆಸುವವನನ್ನು ಜಾರಿ ಮಾಡಲಾಗುತ್ತಿಲ್ಲ,மாணவனை புதுப்பிக்க முடியவில்லை,શીખનારને અપડેટ કરવામાં સક્ષમ નથી,لرنر کو اپ ڈیٹ کرنے کے قابل نہیں ہے۔
COMMON,NOT_ABLE_CREATE_LEARNER,Not Able To Create Learner,लर्नर तयार करता आले नाही,लर्नर बनाने में सक्षम नहीं,ଶିକ୍ଷାର୍ଥୀ ସୃଷ୍ଟି କରିପାରିଲେ ନାହିଁ,లెర్నర్‌ను సృష్టించడంలో విఫలమయ్యారు,ಅಧ್ಯಯನ ನಡೆಸುವವನನ್ನು ಸೇರಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ,மாணவனை உருவாக்க முடியவில்லை,શીખનારને બનાવવા સક્ષમ નથી,لرنر بنانے کے قابل نہیں۔
COMMON,NO_CONTENT_CREATOR_FOUND,No Content Creator (SCTA) Found,कोणताही कन्टेन्ट क्रिएटर (SCTA) सापडला नाही,कोई सामग्री निर्माता (SCTA) नहीं मिला,ସାମଗ୍ରୀ ସୃଷ୍ଟା (SCTA) ମିଳିଲେ ନାହିଁ,కంటెంట్ క్రియేటర్ (SCTA) కనుగొనబడలేదు,ವಿಷಯ ಸೃಷ್ಟಿಕರ್ತ (SCTA) ಸಿಕ್ಕಿಲ್ಲ,உள்ளடக்க உருவாக்குநர் (SCTA) கண்டறியப்படவில்லை,કોઈ સામગ્રી નિર્માતા (SCTA) મળ્યો નથી,کوئی مواد تخلیق کرنے والا (SCTA) نہیں ملا
COMMON,NO_CONTENT_REVIEWER_FOUND,No Content Reviewer (CCTA) Found,कोणताही कन्टेन्ट रिव्ह्युअर (CCTA) सापडला नाही,कोई सामग्री समीक्षक (CCTA) नहीं मिला,ସାମଗ୍ରୀ ସମୀକ୍ଷକ (CCTA) ମିଳିଲେ ନାହିଁ,కంటెంట్ సమీక్షకులు (CCTA) కనుగొనబడలేదు,ವಿಷಯ ವಿಮರ್ಶಕ (CCTA) ಸಿಕ್ಕಿಲ್ಲ,உள்ளடக்க மதிப்பாய்வு (CCTA) கண்டறியப்படவில்லை,કોઈ સામગ્રી સમીક્ષક (CCTA) મળ્યો નથી,کوئی مواد کا جائزہ لینے والا (CCTA) نہیں ملا
LOGIN_PAGE,USERNAME,Username,वापरकर्ता नाव,उपयोगकर्ता नाम,ଉପଭୋକ୍ତା ନାମ,ఫోన్ లేదు,ಬಳಕೆದಾರಹೆಸರು,பயனர் பெயர்,ઉપયોગકર્તાનું નામ,صارف نام
LOGIN_PAGE,PASSWORD,Password,पासवर्ड,पासवर्ड,ପ୍ରବେଶ କୋଡ଼,ఇది మీ స్వంత ఫోనా?,ಪಾಸ್‌ವರ್ಡ್,கடவுச்சொல்,પાસવર્ડ,پاس ورڈ
LOGIN_PAGE,LOGIN,Login,लॉगिन,लॉगिन,ପ୍ରବେଶ,అవును,ಲಾಗಿನ್,உள்நுழைக,લૉગિન કરો,لاگ ان
LOGIN_PAGE,USERNAME_PLACEHOLDER,Enter username,वापरकर्ता नाव प्रविष्ट करा,उपयोगकर्ता नाम दर्ज करें,ଉପଭୋକ୍ତା ନାମ ଲେଖନ୍ତୁ,కాదు,ಬಳಕೆದಾರಹೆಸರು ನಮೂದಿಸಿ,பயனர்பெயரை உள்ளிடவும்,ઉપયોગકર્તાનું નામ લખો,صارف نام درج کریں۔
LOGIN_PAGE,PASSWORD_PLACEHOLDER,Enter password,पासवर्ड प्रविष्ट करा,पासवर्ड दर्ज करें,ପ୍ରବେଶ କୋଡ଼ ଲେଖନ୍ତୁ,అందుబాటులో ఉన్న ఫోన్ రకం,ಪಾಸ್‌ವರ್ಡ್ ನಮೂದಿಸಿ,கடவுச்சொல்லை உள்ளிடவும்,પાસવર્ડ નાખો,پاس ورڈ درج کریں۔
LOGIN_PAGE,USERNAME_PASSWORD_NOT_CORRECT,The username or password you entered is incorrect,तुम्ही प्रविष्ट केलेले वापरकर्ता नाव किंवा पासवर्ड चुकीचा आहे,आपके द्वारा दर्ज किया गया उपयोगकर्ता नाम या पासवर्ड गलत है,ଆପଣ ଲେଖିଥିବା ଉପଭୋକ୍ତା ନାମ କିମ୍ବା ପ୍ରବେଶ କୋଡ଼ ତ୍ରୁଟିପୂର୍ଣ୍ଣ,పాఠశాల నుండి బయటకు వచ్చిన కారణం,ನೀವು ನಮೂದಿಸಿದ ಬಳಕೆದಾರಹೆಸರು ಅಥವಾ ಪಾಸ್‌ವರ್ಡ್ ತಪ್ಪಾಗಿದೆ,நீங்கள் உள்ளிட்ட பயனர் பெயர் அல்லது கடவுச்சொல் தவறானது,તમારા ધ્વારા નાખેલ ઉપયોગકર્તાનું નામ અથવા પાસવર્ડ ખોટો છે.,آپ نے جو صارف نام یا پاس ورڈ درج کیا ہے وہ غلط ہے۔
LOGIN_PAGE,FORGOT_PASSWORD,Forgot Password?,पासवर्ड विसरलात का?,पासवर्ड भूल गए?,ପ୍ରବେଶ କୋଡ଼କୁ ଭୁଲିଗଲେ?,ఇమెయిల్,ಪಾಸ್‌ವರ್ಡ್ ಮರೆತಿದ್ದೀರಾ?,கடவுச்சொல் மறந்துவிட்டதா?,પાસવર્ડ ભૂલી ગયા ?,پاس ورڈ بھول گئے؟
LOGIN_PAGE,REMEMBER_ME,Remember Me,मला लक्षात ठेवा,मुझे याद रखें,ମୋତେ ମନେ ରଖନ୍ତୁ,SCPలో చేరిన సంవత్సరం,ನನ್ನನ್ನು ನೆನಪಿಡಿ,என்னை நினைவில் கொள்ளுங்கள்,મને યાદ રાખો,مجھے یاد رکھنا
LOGIN_PAGE,CONFIRM_PASSWORD,Confirm password,पासवर्डची पुष्टी करा,पासवर्ड की पुष्टि करें,ପାସୱାର୍ଡ ସୁନିଶ୍ଚିତ କରନ୍ତୁ,పాస్‌వర్డ్‌ను నిర్ధారించండి,ಪಾಸ್‌ವರ್ಡ್ ದೃಢೀಕರಿಸಿ,கடவுச்சொல்லை உறுதிப்படுத்தவும்,પાસવર્ડની પુષ્ટિ કરો,پاس ورڈ کی تصدیق کریں۔
LOGIN_PAGE,RESET_PASSWORD,Reset Password,पासवर्ड रीसेट करा,पासवर्ड रीसेट करें,ପାସୱାର୍ଡ ପୁନଃସେଟ୍ କରନ୍ତୁ,పాస్‌వర్డ్‌ను రీసెట్ చేయండి,ಪಾಸ್ವರ್ಡ್ ಮರುಹೊಂದಿಸಿ,கடவுச்சொல்லை மீட்டமைக்கவும்,પાસવર્ડ રીસેટ કરો,پاس ورڈ ری سیٹ کریں۔
LOGIN_PAGE,CREATE_NEW,"Create a new, strong password that you don't use for other websites","नवीन, मजबूत पासवर्ड तयार करा जो तुम्ही इतर वेबसाइटसाठी वापरत नाही","एक नया, मजबूत पासवर्ड बनाएं जो आप अन्य वेबसाइटों के लिए उपयोग नहीं करते","ଏକ ନୂତନ, ଜଟିଳ ପାସୱାର୍ଡ ତିଆରି କରନ୍ତୁ ଯାହାକୁ ଆପଣ ଅନ୍ୟ ୱେବସାଇଟ୍ ପାଇଁ ବ୍ୟବହାର କରନ୍ତି ନାହିଁ","మీరు ఇతర వెబ్‌సైట్‌ల కోసం ఉపయోగించని కొత్త, బలమైన పాస్‌వర్డ్‌ను సృష్టించండి","ನೀವು ಇತರ ವೆಬ್‌ಸೈಟ್‌ಗಳಿಗೆ ಬಳಸದ ಹೊಸ, ಬಲಿಷ್ಠ ಪಾಸ್‌ವರ್ಡ್ ಅನ್ನು ರಚಿಸಿ.",மற்ற இணையதளங்களுக்கு நீங்கள் பயன்படுத்தாத புதிய வலுவான கடவுச்சொல்லை உருவாக்கவும்,"નવો, મજબૂત પાસવર્ડ બનાવો જેનો તમે અન્ય વેબસાઇટ્સ માટે ઉપયોગ કરતા નથી",ایک نیا، مضبوط پاس ورڈ بنائیں جسے آپ دوسری ویب سائٹس کے لیے استعمال نہیں کرتے ہیں۔
LOGIN_PAGE,NOT_MATCH,Passwords do not match,पासवर्ड जुळत नाही,पासवर्ड मेल नहीं खाते,ପାସୱାର୍ଡଗୁଡ଼ିକ ମେଳ ଖାଉନାହିଁ।,పాస్‌వర్డ్‌లు సరిపోలడం లేదు,ಪಾಸ್‌ವರ್ಡ್‌ಗಳು ಹೊಂದಿಕೆಯಾಗುತ್ತಿಲ್ಲ.,கடவுச்சொற்கள் பொருந்தவில்லை,પાસવર્ડ મેળ ખાતા નથી,پاس ورڈز مماثل نہیں ہیں۔
LOGIN_PAGE,CHARACTERS_LONG,Passwords must be at least 8 characters long,पासवर्ड किमान 8 अक्षरे लांब असावा,पासवर्ड कम से कम 8 अंकों का होना चाहिए,ପାସୱାର୍ଡଗୁଡ଼ିକ ଅତି କମରେ 8 ଅକ୍ଷର ଲମ୍ବା ହେବା ଆବଶ୍ୟକ,పాత పాస్‌వర్డ్‌లు కనీసం 8 అక్షరాల పొడవు ఉండాలి,ಪಾಸ್‌ವರ್ಡ್‌ಗಳು ಕನಿಷ್ಠ 8 ಅಕ್ಷರಗಳಷ್ಟು ಉದ್ದವಿರಬೇಕು.,கடவுச்சொற்கள் குறைந்தது 8 எழுத்துக்கள் நீளமாக இருக்க வேண்டும்,પાસવર્ડ ઓછામાં ઓછા 8 અક્ષર લાંબા હોવા જોઈએ,پاس ورڈ کم از کم 8 حروف کا ہونا چاہیے۔
LOGIN_PAGE,OLD_PASSWORD,Old Password,जुना पासवर्ड,पुराना पासवर्ड,ପୁରୁଣା ପାସୱାର୍ଡ,పాత పాస్‌వర్డ్,ಹಳೆಯ ಪಾಸ್‌ವರ್ಡ್,பழைய கடவுச்சொல்,જૂનો પાસવર્ડ,پرانا پاس ورڈ
LOGIN_PAGE,NEW_PASSWORD,New Password,नवीन पासवर्ड,नया पासवर्ड,ନୂଆ ପାସୱାର୍ଡ,కొత్త పాస్‌వర్డ్,ಹೊಸ ಪಾಸ್‌ವರ್ಡ್,புதிய கடவுச்சொல்,નવો પાસવર્ડ,نیا پاس ورڈ
LOGIN_PAGE,CONFIRM_NEW_PASSWORD,Confirm New Password,नवीन पासवर्डची पुष्टी करा,नया पासवर्ड की पुष्टि करें,ନୂଆ ପାସୱାର୍ଡ ସୁନିଶ୍ଚିତ କରନ୍ତୁ,కొత్త పాస్‌వర్డ్‌ను నిర్ధారించండి,ಹೊಸ ಪಾಸ್‌ವರ್ಡ್ ಅನ್ನು ದೃಢೀಕರಿಸಿ,புதிய கடவுச்சொல்லை உறுதிப்படுத்தவும்,નવા પાસવર્ડની પુષ્ટિ કરો,نئے پاس ورڈ کی تصدیق کریں۔
LOGIN_PAGE,TROUBLE_LOGIN,Trouble with logging in?,लॉगिन करण्यात अडचण आहे?,लॉगिन करने में परेशानी हो रही है?,ଲଗଇନ୍ କରିବାରେ ଅସୁବିଧା ହେଉଛି କି?,లాగిన్ చేయడంలో సమస్య ఉందా?,ಲಾಗಿನ್ ಆಗುವಲ್ಲಿ ತೊಂದರೆ ಇದೆಯೇ?,உள்நுழைவதில் சிக்கலா?,લૉગ ઇન કરવામાં મુશ્કેલી?,لاگ ان کرنے میں پریشانی؟
LOGIN_PAGE,ENTER_USERNAME_TO_GET_LINK,"Enter your username, we’ll send you a link to get back into your account.","तुमचे वापरकर्ता नाव प्रविष्ट करा, आम्ही तुम्हाला तुमच्या खात्यात परत जाण्यासाठी एक लिंक पाठवू.","अपना उपयोगकर्ता नाम दर्ज करें, हम आपको अपने खाते में वापस जाने के लिए एक लिंक भेजेंगे।","ଆପଣଙ୍କର ଉପଯୋଗକର୍ତ୍ତାନାମ ପ୍ରବେଶ କରନ୍ତୁ, ଆମେ ଆପଣଙ୍କୁ ଆପଣଙ୍କର ଆକାଉଣ୍ଟକୁ ଫେରି ପାଇବା ପାଇଁ ଏକ ଲିଙ୍କ୍ ପଠାଇବୁ।","మీ యూజర్‌నేమ్‌ను ఎంటర్ చేయండి, మీ ఖాతాలోకి తిరిగి రావడానికి మేము మీకు లింక్‌ను పంపుతాము.","ನಿಮ್ಮ ಬಳಕೆದಾರಹೆಸರನ್ನು ನಮೂದಿಸಿ, ನಿಮ್ಮ ಖಾತೆಗೆ ಮರಳಲು ನಾವು ನಿಮಗೆ ಲಿಂಕ್ ಕಳುಹಿಸುತ್ತೇವೆ.","உங்கள் பயனர்பெயரை உள்ளிடவும், உங்கள் கணக்கிற்குத் திரும்புவதற்கான இணைப்பை நாங்கள் உங்களுக்கு அனுப்புவோம்.","તમારું વપરાશકર્તા નામ દાખલ કરો, અમે તમને તમારા એકાઉન્ટમાં પાછા આવવા માટે એક લિંક મોકલીશું.",اپنا صارف نام درج کریں، ہم آپ کو آپ کے اکاؤنٹ میں واپس جانے کے لیے ایک لنک بھیجیں گے۔
LOGIN_PAGE,ENTER_USERNAME,Enter Username,वापरकर्ता नाव प्रविष्ट करा,उपयोगकर्ता नाम दर्ज करें,ଉପଯୋଗକର୍ତ୍ତାନାମ ଲେଖନ୍ତୁ,యూజర్‌నేమ్ ఎంటర్ చేయండి,ಬಳಕೆದಾರಹೆಸರನ್ನು ನಮೂದಿಸಿ,பயனர்பெயரை உள்ளிடவும்,વપરાશકર્તા નામ દાખલ કરો,صارف نام درج کریں۔
LOGIN_PAGE,BACK_TO_LOGIN,Back to Login,लॉगिनवर परत जा,लॉगिन पर वापस जाएं,ଲଗଇନକୁ ଫେରନ୍ତୁ,లాగిన్‌కి తిరిగి వెళ్లండి,ಲಾಗಿನ್‌ಗೆ ಹಿಂತಿರುಗಿ,உள்நுழைவுக்குத் திரும்பு,લૉગિન પર પાછા જાઓ,لاگ ان پر واپس جائیں۔
LOGIN_PAGE,CREATE_STRONG_PASSWORD,Create a strong password,मजबूत पासवर्ड तयार करा,एक मजबूत पासवर्ड बनाएं,ଏକ ଜଟିଳ ପାସୱାର୍ଡ ତିଆରି କରନ୍ତୁ,బలమైన పాస్‌వర్డ్‌ను సృష్టించండి,ಬಲವಾದ ಪಾಸ್‌ವರ್ಡ್ ರಚಿಸಿ,வலுவான கடவுச்சொல்லை உருவாக்கவும்,મજબૂત પાસવર્ડ બનાવો,ایک مضبوط پاس ورڈ بنائیں
LOGIN_PAGE,YOUR_PASSWORD_NEED,Your password needs to:,तुमच्या पासवर्डमध्ये हे आवश्यक आहे:,आपके पासवर्ड में यह होना चाहिए:,ଆପଣଙ୍କ ପାସୱାର୍ଡ ର ଆବଶ୍ୟକ:,మీ పాస్‌వర్డ్‌లో ఇవి ఉండాలి:,ನಿಮ್ಮ ಪಾಸ್‌ವರ್ಡ್‌ಗೆ ಇವುಗಳ ಅಗತ್ಯವಿದೆ:,உங்கள் கடவுச்சொல் தேவை:,તમારા પાસવર્ડની જરૂર છે:,آپ کے پاس ورڈ کی ضرورت ہے:
LOGIN_PAGE,INCLUDE_BOTH,Include both upper case and lower case,अपर केस आणि लोअर केस दोन्ही समाविष्ट करा,अप्पर केस और लोअर केस दोनों को शामिल करें,ବଡ ଅକ୍ଷର ଏବଂ ଛୋଟ ଅକ୍ଷର ଉଭୟ ଅନ୍ତର୍ଭୁକ୍ତ କରନ୍ତୁ,అప్పర్ కేస్ మరియు లోయర్ కేస్ రెండింటినీ చేర్చండి,ದೊಡ್ಡಕ್ಷರ ಮತ್ತು ಸಣ್ಣಕ್ಷರ ಎರಡನ್ನೂ ಸೇರಿಸಿ,பெரிய எழுத்து மற்றும் சிறிய எழுத்து இரண்டையும் சேர்க்கவும்,અપરકેસ અને લોઅરકેસ બંનેનો સમાવેશ કરો,اپر کیس اور لوئر کیس دونوں شامل کریں۔
LOGIN_PAGE,INCLUDE_NUMBER,Include at least one number,किमान एक नंबर समाविष्ट करा,कम से कम एक नंबर शामिल करें,ଅତି କମରେ ଗୋଟିଏ ସଂଖ୍ୟା ଅନ୍ତର୍ଭୁକ୍ତ କରନ୍ତୁ,కనీసం ఒక సంఖ్యను చేర్చండి,ಕನಿಷ್ಠ ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಸೇರಿಸಿ,குறைந்தது ஒரு எண்ணையாவது சேர்க்கவும்,ઓછામાં ઓછો એક નંબર શામેલ કરો,کم از کم ایک نمبر شامل کریں۔
LOGIN_PAGE,INCLUDE_SPECIAL,Include at least one special character,किमान एक विशेष वर्ण समाविष्ट करा,कम से कम एक विशेष वर्ण शामिल करें,ଅତି କମରେ ଗୋଟିଏ ବିଶେଷ ଅକ୍ଷର ଅନ୍ତର୍ଭୁକ୍ତ କରନ୍ତୁ,కనీసం ఒక ప్రత్యేక అక్షరాన్ని చేర్చండి,ಕನಿಷ್ಠ ಒಂದು ವಿಶೇಷ ಅಕ್ಷರವನ್ನು ಸೇರಿಸಿ,குறைந்தது ஒரு சிறப்பு எழுத்தையாவது சேர்க்கவும்,ઓછામાં ઓછું એક વિશિષ્ટ પાત્ર શામેલ કરો,کم از کم ایک خاص کردار شامل کریں۔
LOGIN_PAGE,MUST_BE_AT,Must be at least 8 characters long,किमान 8 अक्षरे असणे आवश्यक,कम से कम 8 अक्षर का होना जरूरी है,ଅତି କମରେ 8 ଅକ୍ଷର ବିଶିଷ୍ଟ ହେବା ଆବଶ୍ୟକ,కనీసం 8 అక్షరాల పొడవు ఉండాలి,ಕನಿಷ್ಠ 8 ಅಕ್ಷರಗಳಷ್ಟು ಉದ್ದವಿರಬೇಕು.,குறைந்தது 8 எழுத்துகள் நீளமாக இருக்க வேண்டும்,ઓછામાં ઓછા 8 અક્ષર લાંબા હોવા જોઈએ,کم از کم 8 حروف کا ہونا ضروری ہے۔
LOGIN_PAGE,OTHER_SETTING,Other settings,इतर सेटिंग्ज,अन्य सेटिंग्स,ଅନ୍ୟାନ୍ୟ ସେଟିଂସ୍‍,ఇతర సెట్టింగ్‌లు,ಇತರ ಸೆಟ್ಟಿಂಗ್‌ಗಳು,பிற அமைப்புகள்,અન્ય સેટિંગ્સ,دیگر ترتیبات
LOGIN_PAGE,WELCOME,Welcome!,स्वागत आहे!,स्वागत है!,ସ୍ୱାଗତ!,స్వాగతం!,ಸ್ವಾಗತ!,வணக்கம்!,સ્વાગત છે!,خوش آمدید!
